Name,Quantity,Component
"U1",1," Arduino Uno R3"
"SEN1",1," Soil Moisture Sensor"
"R1, R2",2,"220 Ω Resistor"
"D6",1,"Blue LED"
"D7",1,"Green LED"
"D8",1,"Yellow LED"
"D9",1,"Orange LED"
"D10",1,"Red LED"
"U2",1," LCD 16 x 2"
"Rpot1",1,"250 kΩ Potentiometer"
"SERVO1",1,"Positional Micro Servo"
"PIEZO1",1," Piezo"
"R3",1,"1 kΩ Resistor"
